epoch,head,true,pred,correct,covered,set_size,top_score,true_score,qhat,conformal_score,calibration_source,selected_overall,selected_nonlinear
0,random_forest,7,7,True,True,5,0.3333333333333333,0.3333333333333333,0.7966666666666667,rank,holdout,False,False
0,small_mlp,1,1,True,True,1,0.9989644092722748,0.9989644092722748,0.8592823542512131,rank,holdout,False,True
0,random_forest,7,7,True,True,5,0.33666666666666667,0.33666666666666667,0.7966666666666667,rank,holdout,False,False
0,linear_logreg,8,3,False,True,2,0.6502262629110096,0.31345174776790774,0.8209944589031248,rank,holdout,True,False
0,knn_distance,4,3,False,True,7,0.19349885094775432,0.07276388085390113,0.9387749803844087,rank,holdout,False,False
0,linear_logreg,2,2,True,True,2,0.7282081739837556,0.7282081739837556,0.8209944589031248,rank,holdout,True,False
0,rbf_svm,8,6,False,True,3,0.6348403665823281,0.23690545735137436,0.953044066475446,rank,holdout,False,False
0,small_mlp,9,1,False,False,1,0.8880623842492853,0.008011127128450167,0.8592823542512131,rank,holdout,False,True
0,linear_logreg,5,6,False,False,3,0.3913964558466383,0.06763463758627675,0.8209944589031248,rank,holdout,True,False
0,small_mlp,0,0,True,True,4,0.48010223238841443,0.48010223238841443,0.8592823542512131,rank,holdout,False,True
0,small_mlp,4,4,True,True,2,0.7981538496600246,0.7981538496600246,0.8592823542512131,rank,holdout,False,True
0,rbf_svm,2,6,False,False,3,0.639381197561298,0.010563325659036988,0.953044066475446,rank,holdout,False,False
0,small_mlp,3,3,True,True,2,0.7498289115303509,0.7498289115303509,0.8592823542512131,rank,holdout,False,True
0,linear_svm,9,4,False,True,4,0.16360705316203716,0.16156505071552338,0.4966092351680143,rank,holdout,False,False
0,rbf_svm,9,9,True,True,3,0.6414762131551882,0.6414762131551882,0.953044066475446,rank,holdout,False,False
0,linear_svm,7,1,False,True,4,0.16671142530063465,0.16560741255310707,0.4966092351680143,rank,holdout,False,False
0,knn_distance,6,2,False,True,6,0.34946756658777195,0.1980911265783825,0.9387749803844087,rank,holdout,False,False
0,linear_svm,7,7,True,True,4,0.22234786936863196,0.22234786936863196,0.4966092351680143,rank,holdout,False,False
0,knn_distance,1,1,True,True,2,0.9350186326649736,0.9350186326649736,0.9387749803844087,rank,holdout,False,False
0,small_mlp,1,1,True,True,3,0.6635221284326834,0.6635221284326834,0.8592823542512131,rank,holdout,False,True
0,knn_distance,3,4,False,True,7,0.25605675661552574,0.06281932425017461,0.9387749803844087,rank,holdout,False,False
0,random_forest,0,0,True,True,6,0.20666666666666667,0.20666666666666667,0.7966666666666667,rank,holdout,False,False
0,linear_logreg,1,1,True,True,1,0.9957852414923698,0.9957852414923698,0.8209944589031248,rank,holdout,True,False
0,linear_svm,8,0,False,False,4,0.1635797329865812,0.11961651721136882,0.4966092351680143,rank,holdout,False,False
0,knn_distance,3,3,True,True,6,0.2799514232139137,0.2799514232139137,0.9387749803844087,rank,holdout,False,False
0,linear_logreg,8,8,True,True,2,0.6590008338579035,0.6590008338579035,0.8209944589031248,rank,holdout,True,False
0,rbf_svm,7,7,True,True,3,0.6562096779748237,0.6562096779748237,0.953044066475446,rank,holdout,False,False
0,knn_distance,2,2,True,True,6,0.4006060987511323,0.4006060987511323,0.9387749803844087,rank,holdout,False,False
0,small_mlp,7,7,True,True,2,0.5303612760230833,0.5303612760230833,0.8592823542512131,rank,holdout,False,True
0,linear_svm,4,7,False,True,3,0.22957913498899785,0.18930054745357808,0.4966092351680143,rank,holdout,False,False
0,random_forest,2,0,False,True,4,0.39666666666666667,0.12333333333333334,0.7966666666666667,rank,holdout,False,False
0,small_mlp,0,0,True,True,1,0.8963151647856997,0.8963151647856997,0.8592823542512131,rank,holdout,False,True
0,linear_svm,6,6,True,True,4,0.18524485455202575,0.18524485455202575,0.4966092351680143,rank,holdout,False,False
0,random_forest,5,7,False,True,5,0.3766666666666666,0.2033333333333333,0.7966666666666667,rank,holdout,False,False
0,rbf_svm,2,2,True,True,4,0.634205867960597,0.634205867960597,0.953044066475446,rank,holdout,False,False
0,linear_svm,3,5,False,True,3,0.21961322607138445,0.16974729018042403,0.4966092351680143,rank,holdout,False,False
0,linear_svm,1,1,True,True,3,0.31971107387983577,0.31971107387983577,0.4966092351680143,rank,holdout,False,False
0,small_mlp,4,4,True,True,1,0.9075221897482634,0.9075221897482634,0.8592823542512131,rank,holdout,False,True
0,knn_distance,6,3,False,True,8,0.2617412829714078,0.06795223549452933,0.9387749803844087,rank,holdout,False,False
0,random_forest,6,6,True,True,5,0.26666666666666666,0.26666666666666666,0.7966666666666667,rank,holdout,False,False
0,linear_svm,7,7,True,True,3,0.213330216505041,0.213330216505041,0.4966092351680143,rank,holdout,False,False
0,linear_logreg,5,5,True,True,3,0.5969623757332541,0.5969623757332541,0.8209944589031248,rank,holdout,True,False
0,linear_logreg,6,6,True,True,1,0.8582944374868059,0.8582944374868059,0.8209944589031248,rank,holdout,True,False
0,knn_distance,2,6,False,True,5,0.33189385437123253,0.3246693531249034,0.9387749803844087,rank,holdout,False,False
0,linear_logreg,0,0,True,True,2,0.7234505024368145,0.7234505024368145,0.8209944589031248,rank,holdout,True,False
0,small_mlp,8,8,True,True,4,0.688553761346362,0.688553761346362,0.8592823542512131,rank,holdout,False,True
0,linear_svm,7,7,True,True,4,0.18045270025997862,0.18045270025997862,0.4966092351680143,rank,holdout,False,False
0,knn_distance,9,0,False,True,5,0.4018833004567966,0.06195983353283037,0.9387749803844087,rank,holdout,False,False
0,rbf_svm,7,9,False,False,3,0.6425936493259599,0.030473655115176277,0.953044066475446,rank,holdout,False,False
0,random_forest,8,4,False,True,6,0.25,0.22666666666666666,0.7966666666666667,rank,holdout,False,False
0,random_forest,0,2,False,True,6,0.18333333333333335,0.13333333333333336,0.7966666666666667,rank,holdout,False,False
0,small_mlp,4,4,True,True,3,0.5904053401518178,0.5904053401518178,0.8592823542512131,rank,holdout,False,True
0,rbf_svm,2,9,False,True,3,0.6845263559605496,0.03135005350634535,0.953044066475446,rank,holdout,False,False
0,knn_distance,2,3,False,False,5,0.4617248655929981,0.0,0.9387749803844087,rank,holdout,False,False
0,small_mlp,0,0,True,True,4,0.6502745731101055,0.6502745731101055,0.8592823542512131,rank,holdout,False,True
0,small_mlp,9,6,False,False,3,0.5411241066503988,0.08391837049211015,0.8592823542512131,rank,holdout,False,True
0,knn_distance,1,1,True,True,2,0.9363236499730283,0.9363236499730283,0.9387749803844087,rank,holdout,False,False
0,random_forest,1,1,True,True,4,0.54,0.54,0.7966666666666667,rank,holdout,False,False
0,linear_logreg,4,4,True,True,2,0.6625863407617124,0.6625863407617124,0.8209944589031248,rank,holdout,True,False
0,linear_logreg,9,7,False,True,2,0.7489730689789074,0.13224782632754697,0.8209944589031248,rank,holdout,True,False
0,small_mlp,5,5,True,True,2,0.7869763344521171,0.7869763344521171,0.8592823542512131,rank,holdout,False,True
0,linear_svm,2,2,True,True,3,0.30305270488065134,0.30305270488065134,0.4966092351680143,rank,holdout,False,False
0,knn_distance,2,2,True,True,7,0.21612009932463996,0.21612009932463996,0.9387749803844087,rank,holdout,False,False
0,linear_logreg,5,0,False,False,2,0.706821969172635,0.0009446764098240806,0.8209944589031248,rank,holdout,True,False
0,knn_distance,7,7,True,True,7,0.4753534941787842,0.4753534941787842,0.9387749803844087,rank,holdout,False,False
0,linear_logreg,0,4,False,False,3,0.6765860473445231,0.05470725380319957,0.8209944589031248,rank,holdout,True,False
0,random_forest,3,3,True,True,4,0.35,0.35,0.7966666666666667,rank,holdout,False,False
0,rbf_svm,0,0,True,True,3,0.6353380343108526,0.6353380343108526,0.953044066475446,rank,holdout,False,False
0,small_mlp,1,1,True,True,1,0.9796518040527686,0.9796518040527686,0.8592823542512131,rank,holdout,False,True
0,linear_svm,2,2,True,True,4,0.157400653603506,0.157400653603506,0.4966092351680143,rank,holdout,False,False
0,random_forest,0,6,False,True,6,0.25,0.15666666666666668,0.7966666666666667,rank,holdout,False,False
0,knn_distance,2,8,False,True,6,0.45643004650068203,0.06690443487311012,0.9387749803844087,rank,holdout,False,False
0,knn_distance,9,2,False,True,8,0.21656855700029748,0.20395968784359236,0.9387749803844087,rank,holdout,False,False
0,rbf_svm,2,3,False,False,4,0.6711580800876459,0.010189056044298019,0.953044066475446,rank,holdout,False,False
0,small_mlp,3,3,True,True,2,0.46626679629253115,0.46626679629253115,0.8592823542512131,rank,holdout,False,True
0,knn_distance,7,5,False,True,7,0.40219105429838886,0.27233599236149797,0.9387749803844087,rank,holdout,False,False
0,linear_svm,8,4,False,True,3,0.19084941079655396,0.17147791479446892,0.4966092351680143,rank,holdout,False,False
0,linear_svm,3,3,True,True,4,0.17315055437740084,0.17315055437740084,0.4966092351680143,rank,holdout,False,False
0,random_forest,4,7,False,True,6,0.28,0.09333333333333334,0.7966666666666667,rank,holdout,False,False
0,rbf_svm,3,8,False,False,4,0.6574620382164881,0.02969494650135409,0.953044066475446,rank,holdout,False,False
