epoch,pc1,pc2,y
0,2.3910046,-0.42456436,1
0,1.8900683,-0.27505922,7
0,-2.360564,-0.056002617,2
0,-0.093922794,0.13171911,7
0,0.18926173,0.5842047,2
0,-1.6428189,0.19780922,2
0,1.8712144,-0.23684978,1
0,1.7024384,-0.2363677,4
0,-0.15264842,0.5285969,9
0,-0.24140456,0.12133312,3
0,1.619941,-0.10549879,1
0,1.0512936,0.23219347,4
0,-1.7853298,0.008638859,0
0,0.92401725,0.117833614,7
0,1.1817162,0.113657475,1
0,0.7412798,0.28122663,5
0,0.72107106,0.1056695,0
0,-2.6673582,-0.54012585,0
0,0.19476062,0.2711153,6
0,0.38542193,0.21967793,9
0,1.2692001,0.0772171,7
0,-0.066310704,0.20186424,8
0,-0.44392213,0.19396782,4
0,-2.3077419,0.0529418,9
0,0.47360814,0.22018623,6
0,0.19849932,0.26065016,8
0,0.6915335,0.5142517,5
0,-1.3330859,0.27010727,2
0,-1.3119471,0.14321232,3
0,-4.5353746,-1.3277104,6
0,-1.112499,0.119895935,6
0,-0.7422937,0.43167067,2
0,0.45332152,0.25220823,9
0,-0.7496896,0.16049576,0
0,2.2920275,-0.34346008,4
0,-1.7842176,0.32607222,6
0,-0.30480546,0.042251587,0
0,0.12030816,0.2283845,5
0,0.4975599,0.31812954,9
0,1.0458152,0.11795139,2
0,0.73657197,0.15490818,4
0,-4.1962585,-1.2001135,3
0,-0.778794,0.3516426,2
0,0.16832238,0.1493454,6
0,-3.1425905,-0.44062328,6
0,0.89436704,0.19813204,9
0,-0.57085085,0.21003103,2
0,-0.5229146,0.2703662,2
0,-0.020359457,0.25316477,1
0,1.4421809,-0.03511238,3
0,0.46527666,0.028602123,7
0,-1.52777,0.020451546,9
0,-1.7204418,-0.025888443,0
0,0.2229765,0.097919464,8
0,1.7066541,-0.17224121,6
0,-4.6946664,-1.551573,8
0,-0.26476383,0.3667879,7
0,2.2154846,-0.48425484,1
0,0.62459403,0.21804714,6
0,0.104949534,0.16785955,6
0,2.2911153,-0.43964386,3
0,0.9510806,-0.041138172,3
0,-0.2374195,0.22811317,7
0,-4.7791314,-1.8448346,0
0,-0.69326246,0.27129984,3
0,-1.1003635,0.10448599,2
0,-1.7554891,0.15019512,6
0,1.5013075,-0.12313557,1
0,-1.4098043,0.2681942,9
0,-0.73613095,0.12129307,5
0,2.1115513,-0.36982918,1
0,-2.4701986,-0.0029087067,2
0,2.3980167,-0.49947405,1
0,2.9330459,-0.781754,1
0,0.5865448,0.32519245,7
0,-0.033393145,0.28074408,5
0,0.36037016,0.30141306,7
0,1.0259609,0.20847225,2
0,-1.18204,0.05987549,2
0,1.3179874,0.020105362,9
0,0.7569743,0.061009407,6
0,-3.3690848,-0.60450506,0
0,-0.37367857,0.1933465,0
0,0.1152243,0.23158741,2
0,-3.2167182,-0.33756733,8
0,1.0055847,0.06905031,6
0,1.3521333,-0.04521513,7
0,-0.14835021,0.26700592,6
0,-0.6438526,0.273417,4
0,-1.2025518,0.16715527,0
0,1.5123332,-0.06952143,9
0,1.3722086,-0.12668133,1
0,-1.0097544,0.25512028,6
0,-1.0563045,0.11840773,4
